状态,来源名称,页面分类,来源分区,来源ID,候选目标,审核决定,目标ID,审核备注,来源URL
尚未映射,搭訕,玩法 (practice),uncensored,uncensored:w,,,,,https://www.javbus.com/uncensored/genre/w
尚未映射,大便,玩法 (practice),uncensored,uncensored:10q,,,,,https://www.javbus.com/uncensored/genre/10q
尚未映射,電動按摩器,玩法 (practice),uncensored,uncensored:gre120,,,,,https://www.javbus.com/uncensored/genre/gre120
尚未映射,電話,玩法 (practice),uncensored,uncensored:gre137,,,,,https://www.javbus.com/uncensored/genre/gre137
尚未映射,電鑽,玩法 (practice),uncensored,uncensored:12u,,,,,https://www.javbus.com/uncensored/genre/12u
尚未映射,多P,玩法 (practice),censored | uncensored,censored:3 | uncensored:gre126,,,,,https://www.javbus.com/genre/3 | https://www.javbus.com/uncensored/genre/gre126
尚未映射,惡作劇,玩法 (practice) | 主题 (theme),uncensored | censored,uncensored:m3 | censored:3v,,,,,https://www.javbus.com/uncensored/genre/m3 | https://www.javbus.com/genre/3v
尚未映射,糞便,玩法 (practice),censored,censored:1a,,,,,https://www.javbus.com/genre/1a
尚未映射,肛門,玩法 (practice),uncensored,uncensored:gre124,,,,,https://www.javbus.com/uncensored/genre/gre124
尚未映射,公寓,玩法 (practice),uncensored,uncensored:gre138,,,,,https://www.javbus.com/uncensored/genre/gre138
尚未映射,灌腸,玩法 (practice),censored | uncensored,censored:2u | uncensored:10w,,,,,https://www.javbus.com/genre/2u | https://www.javbus.com/uncensored/genre/10w
尚未映射,灌入精液,玩法 (practice),uncensored,uncensored:gre132,,,,,https://www.javbus.com/uncensored/genre/gre132
尚未映射,喝口水,玩法 (practice),uncensored,uncensored:1cv,,,,,https://www.javbus.com/uncensored/genre/1cv
尚未映射,假陽具,玩法 (practice),censored | uncensored,censored:5y | uncensored:62,,,,,https://www.javbus.com/genre/5y | https://www.javbus.com/uncensored/genre/62
尚未映射,紧缚,玩法 (practice),censored,censored:1q,,,,,https://www.javbus.com/genre/1q
尚未映射,經期,玩法 (practice),uncensored,uncensored:1b8,,,,,https://www.javbus.com/uncensored/genre/1b8
尚未映射,精液塗抹,玩法 (practice),uncensored,uncensored:11s,,,,,https://www.javbus.com/uncensored/genre/11s
尚未映射,開口器,玩法 (practice),uncensored,uncensored:125,,,,,https://www.javbus.com/uncensored/genre/125
尚未映射,蠟燭,玩法 (practice),uncensored,uncensored:161,,,,,https://www.javbus.com/uncensored/genre/161
尚未映射,亂搞,玩法 (practice),uncensored,uncensored:kr,,,,,https://www.javbus.com/uncensored/genre/kr
尚未映射,摩擦,玩法 (practice),uncensored,uncensored:b6,,,,,https://www.javbus.com/uncensored/genre/b6
尚未映射,逆強姦,玩法 (practice),censored,censored:63,,,,,https://www.javbus.com/genre/63
尚未映射,奴役,玩法 (practice),uncensored,uncensored:28,,,,,https://www.javbus.com/uncensored/genre/28
尚未映射,女體盛,玩法 (practice),uncensored,uncensored:14l,,,,,https://www.javbus.com/uncensored/genre/14l
尚未映射,女優按摩棒,玩法 (practice),censored,censored:4f,,,,,https://www.javbus.com/genre/4f
尚未映射,汽車性愛,玩法 (practice),censored,censored:1h,,,,,https://www.javbus.com/genre/1h
尚未映射,乳液,玩法 (practice),censored,censored:3z,,,,,https://www.javbus.com/genre/3z
尚未映射,潤滑劑,玩法 (practice),uncensored,uncensored:gre127,,,,,https://www.javbus.com/uncensored/genre/gre127
尚未映射,潤滑油,玩法 (practice),uncensored,uncensored:1c2,,,,,https://www.javbus.com/uncensored/genre/1c2
尚未映射,散步,玩法 (practice),uncensored,uncensored:iz,,,,,https://www.javbus.com/uncensored/genre/iz
尚未映射,攝影,玩法 (practice),uncensored,uncensored:gre128,,,,,https://www.javbus.com/uncensored/genre/gre128
尚未映射,繩子,玩法 (practice),uncensored,uncensored:sl,,,,,https://www.javbus.com/uncensored/genre/sl
尚未映射,手銬,玩法 (practice),uncensored,uncensored:zk,,,,,https://www.javbus.com/uncensored/genre/zk
尚未映射,受虐,玩法 (practice),uncensored,uncensored:gre133,,,,,https://www.javbus.com/uncensored/genre/gre133
尚未映射,束縛,玩法 (practice),uncensored,uncensored:22,,,,,https://www.javbus.com/uncensored/genre/22
尚未映射,舔耳朵,玩法 (practice),uncensored,uncensored:12a,,,,,https://www.javbus.com/uncensored/genre/12a
尚未映射,偷窺,玩法 (practice),uncensored,uncensored:gre140,,,,,https://www.javbus.com/uncensored/genre/gre140
尚未映射,偷拍,玩法 (practice),uncensored,uncensored:gre135,,,,,https://www.javbus.com/uncensored/genre/gre135
尚未映射,無套,玩法 (practice),uncensored,uncensored:gre164,,,,,https://www.javbus.com/uncensored/genre/gre164
尚未映射,項圈,玩法 (practice),uncensored,uncensored:yk,,,,,https://www.javbus.com/uncensored/genre/yk
尚未映射,性愛,玩法 (practice),censored,censored:5m,,,,,https://www.javbus.com/genre/5m
尚未映射,懸掛,玩法 (practice),uncensored,uncensored:11i,,,,,https://www.javbus.com/uncensored/genre/11i
尚未映射,藥物,玩法 (practice),censored,censored:1l,,,,,https://www.javbus.com/genre/1l
尚未映射,異物插入,玩法 (practice),uncensored,uncensored:gre136,,,,,https://www.javbus.com/uncensored/genre/gre136
尚未映射,陰道放入食物,玩法 (practice),uncensored,uncensored:122,,,,,https://www.javbus.com/uncensored/genre/122
尚未映射,陰道觀察,玩法 (practice),uncensored,uncensored:gre130,,,,,https://www.javbus.com/uncensored/genre/gre130
尚未映射,遠程操作,玩法 (practice),uncensored,uncensored:gre139,,,,,https://www.javbus.com/uncensored/genre/gre139
尚未映射,振動,玩法 (practice),uncensored,uncensored:6,,,,,https://www.javbus.com/uncensored/genre/6
尚未映射,注視,玩法 (practice),uncensored,uncensored:8e,,,,,https://www.javbus.com/uncensored/genre/8e
尚未映射,子宮頸,玩法 (practice),censored,censored:4c,,,,,https://www.javbus.com/genre/4c
尚未映射,白領,角色 (role),uncensored,uncensored:18,,,,,https://www.javbus.com/uncensored/genre/18
尚未映射,白人,角色 (role),censored | uncensored,censored:2a | uncensored:gre163,,,,,https://www.javbus.com/genre/2a | https://www.javbus.com/uncensored/genre/gre163
尚未映射,伴侶,角色 (role),censored,censored:58,,,,,https://www.javbus.com/genre/58
尚未映射,保健室,角色 (role),uncensored,uncensored:r5,,,,,https://www.javbus.com/uncensored/genre/r5
尚未映射,播音員,角色 (role),uncensored,uncensored:12r,,,,,https://www.javbus.com/uncensored/genre/12r
尚未映射,超級女英雄,角色 (role),censored,censored:6f,,,,,https://www.javbus.com/genre/6f
尚未映射,車掌小姐,角色 (role),censored,censored:2o,,,,,https://www.javbus.com/genre/2o
尚未映射,大學生,角色 (role),uncensored,uncensored:5d,,,,,https://www.javbus.com/uncensored/genre/5d
尚未映射,蕩婦,角色 (role),censored,censored:10,,,,,https://www.javbus.com/genre/10
尚未映射,動畫人物,角色 (role),censored,censored:64,,,,,https://www.javbus.com/genre/64
尚未映射,兒子,角色 (role),uncensored,uncensored:wc,,,,,https://www.javbus.com/uncensored/genre/wc
尚未映射,夫婦,角色 (role),uncensored,uncensored:bm,,,,,https://www.javbus.com/uncensored/genre/bm
尚未映射,服務生,角色 (role),censored,censored:7,,,,,https://www.javbus.com/genre/7
尚未映射,高中女生,角色 (role),censored,censored:b,,,,,https://www.javbus.com/genre/b
尚未映射,格鬥家,角色 (role),censored,censored:4h | censored:2q,,,,,https://www.javbus.com/genre/4h | https://www.javbus.com/genre/2q
尚未映射,各種職業,角色 (role),censored,censored:26,,,,,https://www.javbus.com/genre/26
尚未映射,工作人員,角色 (role),uncensored,uncensored:mr,,,,,https://www.javbus.com/uncensored/genre/mr
尚未映射,寡婦,角色 (role),censored | uncensored,censored:2f | uncensored:ok,,,,,https://www.javbus.com/genre/2f | https://www.javbus.com/uncensored/genre/ok
尚未映射,黑幫成員,角色 (role),censored,censored:5w,,,,,https://www.javbus.com/genre/5w
尚未映射,黑人,角色 (role),uncensored,uncensored:gre047,,,,,https://www.javbus.com/uncensored/genre/gre047
尚未映射,黑人演員,角色 (role),censored,censored:z,,,,,https://www.javbus.com/genre/z
尚未映射,護士,角色 (role),uncensored,uncensored:gre035,,,,,https://www.javbus.com/uncensored/genre/gre035
尚未映射,妓女,角色 (role),censored,censored:23,,,,,https://www.javbus.com/genre/23
尚未映射,家教,角色 (role),censored,censored:1c,,,,,https://www.javbus.com/genre/1c
尚未映射,看護,角色 (role),uncensored,uncensored:gre042,,,,,https://www.javbus.com/uncensored/genre/gre042
尚未映射,啦啦隊,角色 (role),uncensored,uncensored:1d3,,,,,https://www.javbus.com/uncensored/genre/1d3
尚未映射,老師,角色 (role),uncensored,uncensored:jk,,,,,https://www.javbus.com/uncensored/genre/jk
尚未映射,鄰居,角色 (role),uncensored,uncensored:pk,,,,,https://www.javbus.com/uncensored/genre/pk
尚未映射,蘿莉,角色 (role),uncensored,uncensored:gre027,,,,,https://www.javbus.com/uncensored/genre/gre027
尚未映射,媽媽,角色 (role),uncensored,uncensored:gre036,,,,,https://www.javbus.com/uncensored/genre/gre036
尚未映射,面具男,角色 (role),uncensored,uncensored:11x,,,,,https://www.javbus.com/uncensored/genre/11x
尚未映射,明星,角色 (role),uncensored,uncensored:o4,,,,,https://www.javbus.com/uncensored/genre/o4
尚未映射,明星臉,角色 (role),censored,censored:39,,,,,https://www.javbus.com/genre/39
尚未映射,模特兒,角色 (role),censored,censored:34,,,,,https://www.javbus.com/genre/34
尚未映射,魔法少女,角色 (role),censored,censored:5r,,,,,https://www.javbus.com/genre/5r
尚未映射,魔女,角色 (role),uncensored,uncensored:9a,,,,,https://www.javbus.com/uncensored/genre/9a
尚未映射,奶奶,角色 (role),uncensored,uncensored:1a1,,,,,https://www.javbus.com/uncensored/genre/1a1
尚未映射,男友,角色 (role),uncensored,uncensored:gre034,,,,,https://www.javbus.com/uncensored/genre/gre034
尚未映射,年輕人妻,角色 (role),uncensored,uncensored:gre040,,,,,https://www.javbus.com/uncensored/genre/gre040
尚未映射,女大學生,角色 (role),censored,censored:1x,,,,,https://www.javbus.com/genre/1x
尚未映射,女檢察官,角色 (role),censored,censored:3o,,,,,https://www.javbus.com/genre/3o
尚未映射,女僕,角色 (role),uncensored,uncensored:13,,,,,https://www.javbus.com/uncensored/genre/13
尚未映射,女生,角色 (role),censored,censored:p,,,,,https://www.javbus.com/genre/p
